planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
GJ 179 b,0.7391,,2.41,,GJ 179,0.357,0.38,,3370.0
GJ 179 c,0.0154,,0.032,,GJ 179,0.357,0.38,,3370.0
GJ 180 b,0.02124,,0.092,,GJ 180,0.43,,,3371.0
GJ 180 c,0.020136551,,0.129,,GJ 180,0.43,,,3371.0
GJ 180 d,0.02357,,0.31,,GJ 180,0.43,,,3371.0
GJ 2030 b,0.014,,0.034,,GJ 2030,1.0,,,
GJ 2030 c,12.934,,16.752,,GJ 2030,1.0,,,
GJ 2056 b,0.051,,0.283,,GJ 2056,,,,
GJ 2056 c,0.4443,,3.453,,GJ 2056,,,,
GJ 229 A b,0.03153,,0.896,,GJ 229,0.58,,,3564.0
GJ 229 A c,0.02495,,0.339,,GJ 229,0.58,,,3564.0
GJ 229 B,35.0,,19.433,1200.0,GJ 229,0.58,,,3564.0
GJ 238 b,,0.0505,0.02123,758.0,GJ 238,0.42,0.566,,3485.0
GJ 251 b,0.013,,0.0818,351.0,GJ 251,0.36,0.364,,3451.0
GJ 27.1 b,0.040902369,,0.101,,GJ 27.1,0.53,,,3542.0
GJ 273 b,0.00922,,0.091,,GJ 273,0.29,0.293,,3382.0
