planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-2587 b,0.218,1.077,1445,TOI-2587,0.0635,1.15,1.726,6.7,5760
TOI-2589 b,3.5,1.08,592,TOI-2589,0.3,0.93,1.07,11,5579
TOI-260 b,0.02961,0.1454,493,TOI-260,0.0943,0.616,0.607,,4026
TOI-261 b,,0.2712,1722,TOI-261,0.0348,,,,
TOI-262 b,,0.1838,700,TOI-262,,,,,
TOI-263 b,61.6,0.91,1020,TOI-263,0.0098,0.4,0.405,4.75,3250
TOI-2641 b,0.366,1.615,1387,TOI-2641,0.0607,,,,
TOI-2669 b,0.61,1.76,,TOI-2669,,1.19,4.1,5.9,4800
TOI-266 b,0.028,0.2284,855,TOI-266,,1.04,0.92,,5784
TOI-266 c,0.0337,0.2213,699,TOI-266,,1.04,0.92,,5784
TOI-269 b,0.0277,0.2471,531,TOI-269,0.0345,0.3917,0.398,,3514
TOI-270 b,0.00466,0.11125,528,TOI-270,0.0306,0.4,0.38,,3386
TOI-270 c,0.0195,0.2079,424,TOI-270,0.0472,0.4,0.38,,3386
TOI-270 d,0.0132,0.19,340,TOI-270,0.0733,0.4,0.38,,3386
TOI-277 b,0.0308,0.27612,740,TOI-277,0.0269,0.52,0.523,,6668
TOI-2796 b,0.44,1.59,1205,TOI-2796,0.04089,1.063,1.069,4,5764
TOI-2803 b,0.975,1.616,1893,TOI-2803,0.03185,1.118,1.245,3.7,6280
TOI-2818 b,0.71,1.363,1376,TOI-2818,0.0493,0.977,1.229,9.5,5721
TOI-2842 b,0.37,1.146,1471,TOI-2842,0.0475,1.135,1.265,4.7,5910
TOI-286 b,0.01425,0.1267,980,TOI-286,0.213,0.83,0.78,,5132
TOI-286 c,0.0117,0.1677,475,TOI-286,0.213,0.83,0.78,,5132
TOI-2977 b,1.68,1.174,1544,TOI-2977,0.03386,0.936,1.073,9.8,5691
