planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
WASP-110 b,0.515,1.238,1134,WASP-110,0.0457,0.881,8.6,5400,1134
WASP-111 b,1.85,1.442,2140,WASP-111,0.03914,1.85,2.6,6400,2140
WASP-112 b,0.88,1.191,1395,WASP-112,0.0382,1.002,10.6,5610,1395
WASP-117 b,0.2755,1.021,1024,WASP-117,0.09459,1.17,4.6,6040,1024
WASP-118 b,0.514,1.44,1729,WASP-118,0.05453,1.7,1.17,6410,1729
WASP-119 b,1.23,1.4,1600,WASP-119,0.0363,1.2,8,5650,1600
WASP-12 b,1.47,1.9,2593,WASP-12,0.02344,1.657,1.7,6360,2593
WASP-124 b,0.6,1.24,1400,WASP-124,0.0499,1.02,2.1,6050,1400
WASP-126 b,0.2841,0.96,1480,WASP-126,0.0449,1.27,6.4,5800,1480
WASP-129 b,1,0.93,1100,WASP-129,0.0628,0.9,1,5900,1100
WASP-130 b,1.23,0.89,833,WASP-130,0.1012,0.96,2,5625,833
WASP-131 b,0.27,1.22,1400,WASP-131,0.0607,1.53,4.5,6030,1400
WASP-132 b,0.428,0.901,682,WASP-132,0.067,0.758,7.2,4686,682
WASP-132 c,0.0197,0.16424,1329,WASP-132,0.01833,0.758,7.2,4686,1329
WASP-133 b,1.16,1.21,1790,WASP-133,0.0345,1.44,6.8,5700,1790
WASP-134 b,1.412,0.988,953,WASP-134,0.0956,1.16,5.1,5700,953
WASP-137 b,0.681,1.27,1601,WASP-137,0.0519,1.65,4.3,6100,1601
WASP-140 b,2.44,1.44,1320,WASP-140,0.0323,0.87,1.6,5260,1320
WASP-141 b,2.69,1.21,1540,WASP-141,0.0469,1.37,4,5900,1540
WASP-142 b,0.84,1.53,2000,WASP-142,0.0347,1.64,2,6010,2000
WASP-143 b,0.725,1.234,1325,WASP-143,0.049,1,1.9,5900,1325
WASP-144 b,0.44,0.85,1260,WASP-144,0.0316,0.81,0.5,4950,1260
WASP-145 A b,0.89,0.9,1200,WASP-145 A,0.0261,0.68,0.5,4900,1200
WASP-146 b,1.11,1.228,1486,WASP-146,0.0451,1.29,6.9,6100,1486
WASP-156 b,0.1303,0.554,972,WASP-156,0.0451,0.76,6.4,4910,972
WASP-157 b,0.576,0.998,1193,WASP-157,0.0499,1.1,1,5772,1193
WASP-158 b,2.79,1.07,1590,WASP-158,0.0517,1.39,1.7,6350,1590
WASP-159 b,0.55,1.38,1850,WASP-159,0.0538,2.11,5,6000,1850
WASP-162 b,5.2,1,910,WASP-162,0.0871,1.11,1,5300,910
WASP-166 b,0.102,0.6155,1270,WASP-166,0.0668,1.22,2.1,6050,1270
WASP-168 b,0.42,1.5,1340,WASP-168,0.0519,1.12,1,6000,1340
WASP-169 b,0.561,1.304,1604,WASP-169,0.0681,2.011,3.8,6110,1604
WASP-171 b,1.084,0.988,1642,WASP-171,0.0504,1.637,5.908,5965,1642
WASP-172 b,0.47,1.57,1740,WASP-172,0.0694,1.91,1.2,6900,1740
WASP-175 b,0.99,1.208,1571,WASP-175,0.044,1.204,1.745,6229,1571
WASP-177 b,0.508,1.58,1142,WASP-177,0.03957,0.885,9.7,5017,1142
WASP-178 b,1.41,1.94,2402,WASP-178,0.0558,1.801,0.43,8640,2402
WASP-18 b,10.4296,1.165,2069,WASP-18,0.02047,1.23,0.63,6400,2069
WASP-181 b,0.299,1.184,1186,WASP-181,0.05427,0.965,2.5,5839,1186
WASP-182 b,0.148,0.85,1479,WASP-182,0.0451,1.34,5.952,5638,1479
WASP-183 b,0.502,1.47,1111,WASP-183,0.04632,0.871,14.9,5313,1111
WASP-189 b,1.99,1.619,3353,WASP-189,0.05053,2.33,0.855,7996,3353
WASP-19 b,1.139,1.41,2077,WASP-19,0.016634,1.004,11.5,5500,2077
WASP-193 b,0.139,1.464,1254,WASP-193,0.0676,1.225,6.6,6076,1254
WASP-20 A b,0.313,1.459,1379,WASP-20 A,0.06003,1.392,7,5950,1379
WASP-28 b,0.907,1.213,1468,WASP-28,0.04469,1.094,5,6150,1468
WASP-30 b,60.86,0.889,1474,WASP-30,0.05325,0.889,2,6201,1474
WASP-36 b,2.279,1.269,1781,WASP-36,0.02624,0.943,3,5881,1781
WASP-50 b,1.437,1.138,1394.84,WASP-50,0.02913,0.855,8.1,5400,1394.84
WASP-55 b,0.61,1.33,1290,WASP-55,0.0533,1.09,3,5900,1290
WASP-59 b,0.863,0.775,670,WASP-59,0.0697,0.613,0.5,4650,670
WASP-69 b,0.26,1.057,963,WASP-69,0.04525,0.813,2,4715,963
WASP-70 A b,0.59,1.164,1387,WASP-70 A,0.04853,1.215,9.5,5763,1387
WASP-74 b,0.826,1.248,1865,WASP-74,0.03443,1.64,2,5970,1865
WASP-75 b,1.07,1.27,1710,WASP-75,0.0375,1.26,3.5,6100,1710
WASP-83 b,0.3,1.04,1120,WASP-83,0.059,1.05,5,5480,1120
WASP-84 b,0.692,0.9564,732,WASP-84,0.0778,0.748,1,5314,732
WASP-84 c,0.0478,0.174,1329,WASP-84,0.02359,0.748,1,5314,1329
WASP-87 A b,2.21,1.385,2322,WASP-87 A,0.02946,1.627,3.8,6450,2322
WASP-89 b,5.9,1.04,1120,WASP-89,0.0427,0.88,1.3,4955,1120
WASP-95 b,1.206,1.098,1692,WASP-95,0.0312,1.13,2.4,5630,1692
WASP-96 b,0.48,1.2,1285,WASP-96,0.0453,1.05,8,5540,1285
WASP-97 b,1.32,1.13,1555,WASP-97,0.03303,1.06,11.9,5640,1555
WASP-98 b,0.83,1.1,1180,WASP-98,0.036,0.7,3,5525,1180
WASP-99 b,2.78,1.1,1480,WASP-99,0.0717,1.76,1.4,6180,1480
WD 0137-349 b,55.5,0.97,1970,WD 0137-349,0.003,0.0186,0.25,16500,1970
Wolf 503 b,0.0197,0.18227,790,Wolf 503,0.05706,0.69,11,4716,790
WTS-2 b,1.12,1.3,2000,WTS-2,0.01855,0.761,0.6,5000,2000
XO-4 b,1.616,1.317,1641,XO-4,0.05485,1.55,2.1,5700,1641
XO-6 b,1.9,2.07,1577,XO-6,0.0815,1.93,1.88,6720,1577
XO-7 b,0.726,1.346,1612,XO-7,0.04329,1.48,1.18,6000,1612
Europa,2.53E-05,0.02183181,140,Mon,5.2,1,1,4.6,5778
Enceladus,5.69E-08,0.00352627,72,Tue,9.49841,1,1,4.6,5778
Io,4.70E-05,0.02547977,71,Wed,5.44,1,1,4.6,5778
Titan,7.11E-05,0.03601382,90.6,Thu,9.49183,1,1,4.6,5778
Mercury,1.74E-04,0.034,440,Sun,3.90E-01,1,1,4.6,5778
Venus,2.57E-03,0.085,737,Sun,7.20E-01,1,1,4.6,5778
Mars,3.38E-04,0.047,210,Sun,1.5201173,1,1,4.6,5778
Jupiter,1,1,165,Sun,5.197878,1,1,4.6,5778
Saturn,0.299,0.843,134,Sun,9.570696,1,1,4.6,5778
Uranus,0.046,0.355,76,Sun,1.72E+01,1,1,4.6,5778
Neptune,0.054,0.344,72,Sun,3.01E+01,1,1,4.6,5778
Earth,0.00314558,0.08928571,288,Sun,1.00E+00,1,1,4.6,5778
Mars_prehistoric,3.38E-04,0.047,290,Sun,1.5201173,1,1,0.8,5600
